,Year,Hot_Singles_Rank,Title,Artist,Genre,Weeks_On_Chart,Peak_Chart_Position,Maj_Min,BPM
74,1978,75,"""always and forever""",HEATWAVE,R&B/Soul,20,18,Maj,156
98,1978,99,"""hollywood nights""",BOB SEGER & THE SILVER BULLET BAND,Rock,13,12,Maj,150
76,1978,77,"""serpentine fire""","EARTH, WIND & FIRE",R&B/Soul,18,13,Maj,140
93,1978,94,"""turn to stone""",ELECTRIC LIGHT ORCHESTRA,Rock,15,13,Maj,138
69,1978,70,"""what's your name""",LYNYRD SKYNYRD,Rock,18,13,Maj,138
81,1978,82,"""running on empty""",JACKSON BROWNE,Pop,17,11,Maj,136
67,1978,68,"""hey deanie""",SHAUN CASSIDY,Pop,16,7,Maj,134
63,1978,64,"""shame""","EVELYN ""CHAMPAGNE"" KING",R&B/Soul,19,9,Min,132
84,1978,85,"""get off""",FOXY,R&B/Soul,21,9,Maj,130
82,1978,83,"""whenever i call you 'friend'""",KENNY LOGGINS,Rock,20,5,Maj,130
49,1978,50,"""thunder island""",JAY FERGUSON,Rock,21,9,Maj,130
53,1978,54,"""disco inferno""",THE TRAMMPS,R&B/Soul,29,11,Maj,128
44,1978,45,"""an everlasting love""",ANDY GIBB,Pop,16,5,Maj,126
87,1978,88,"""i love the nightlife""",ALICIA BRIDGES,Pop,31,5,Maj,126
8,1978,9,"""boogie oogie oogie""",A TASTE OF HONEY,R&B/Soul,23,1,Min,126
43,1978,44,"""love will find a way""",PABLO CRUISE,Rock,18,6,Maj,126
45,1978,46,"""love is in the air""",JOHN PAUL YOUNG,Pop,21,7,Maj,126
71,1978,72,"""because the night""",PATTI SMITH GROUP,Rock,18,13,Min,126
68,1978,69,"""summer nights""",OLIVIA NEWTON-JOHN,Pop,16,5,Maj,125
19,1978,20,"""dance, dance, dance (yowsah, yowsah, yowsah)""",CHIC,R&B/Soul,28,6,Min,124
40,1978,41,"""short people""",RANDY NEWMAN,Rock,20,2,Maj,124
22,1978,23,"""love is like oxygen""",SWEET,Rock,25,8,Min,124
37,1978,38,"""the closer i get to you""",ROBERTA FLACK & DONNY HATHAWAY,R&B/Soul,20,2,Maj,122
92,1978,93,"""don't look back""",BOSTON,Rock,13,4,Maj,122
85,1978,86,"""sweet talkin' woman""",ELECTRIC LIGHT ORCHESTRA,Rock,---,17,Maj,122
46,1978,47,"""goodbye girl""",DAVID GATES,Pop,24,15,Min,122
47,1978,48,"""slip slidin' away""",PAUL SIMON,Pop,20,5,Maj,122
48,1978,49,"""the groove line""",HEATWAVE,R&B/Soul,17,7,Maj,121
75,1978,76,"""you and i""",RICK JAMES,R&B/Soul,17,13,Maj,120
66,1978,67,"""baby hold on""",EDDIE MONEY,Rock,20,11,Maj,120
89,1978,90,"""it's so easy""",LINDA RONSTADT,Pop,18,5,Maj,120
55,1978,56,"""come sail away""",STYX,Rock,22,8,Maj,120
54,1978,55,"""on broadway""",GEORGE BENSON,Jazz,18,7,Maj,120
32,1978,33,"""sometimes when we touch""",DAN HILL,Pop,22,3,Maj,119
73,1978,74,"""copacabana""",BARRY MANILOW,Pop,16,8,Min,118
23,1978,24,"""it's a heartache""",BONNIE TYLER,Pop,21,3,Maj,118
95,1978,96,"""ebony eyes""",BOB WELCH,Rock,17,14,Maj,118
35,1978,36,"""hot blooded""",FOREIGNER,Rock,17,3,Maj,118
79,1978,80,"""don't let me be misunderstood""",SANTA ESMERALDA,Pop,19,15,Min,118
61,1978,62,"""peg""",STEELY DAN,Rock,19,11,Maj,117
25,1978,26,"""baker street""",GERRY RAFFERTY,Rock,20,2,Maj,116
51,1978,52,"""still the same""",BOB SEGER & THE SILVER BULLET BAND,Rock,18,4,Maj,116
99,1978,100,"""deacon blues""",STEELY DAN,Rock,16,19,Maj,114
41,1978,42,"""use ta be my girl""",THE O'JAYS,Pop,19,4,Maj,113
21,1978,22,"""hot child in the city""",NICK GILDER,Rock,31,1,Maj,113
65,1978,66,"""count on me""",JEFFERSON STARSHIP,Rock,14,8,Maj,112
17,1978,18,"""with a little luck""",WINGS,Rock,18,1,Maj,112
15,1978,16,"""miss you""",THE ROLLING STONES,Rock,20,1,Min,112
56,1978,57,"""(every time i turn around) back in love again""",L.T.D.,R&B/Soul,19,4,Maj,110
90,1978,91,"""native new yorker""",ODYSSEY,Pop,19,21,Maj,110
50,1978,51,"""imaginary lover""",ATLANTA RHYTHM SECTION,Rock,17,7,Min,110
1,1978,2,"""night fever""",BEE GEES,Pop,20,1,Min,110
10,1978,11,"""grease""",FRANKIE VALLI,Pop,22,1,Maj,110
28,1978,29,"""dance with me""",PETER BROWN,R&B/Soul,28,8,Maj,110
31,1978,32,"""take a chance on me""",ABBA,Pop,18,3,Maj,108
94,1978,95,"""i can't stand the rain""",ERUPTION,Pop,22,18,Maj,108
83,1978,84,"""fool (if you think it's over)""",CHRIS REA,Pop,15,12,Min,108
30,1978,31,"""jack and jill""",RAYDIO,R&B/Soul,21,8,Maj,108
18,1978,19,"""if i can't have you""",YVONNE ELLIMAN,Rock,22,1,Maj,108
58,1978,59,"""you belong to me""",CARLY SIMON,Pop,18,6,Min,108
59,1978,60,"""here you come again""",DOLLY PARTON,Country,19,3,Maj,106
91,1978,92,"""flash light""",PARLIAMENT,R&B/Soul,16,16,Maj,106
12,1978,13,"""you're the one that i want""",OLIVIA NEWTON-JOHN,Pop,24,1,Maj,106
20,1978,21,"""feels so good""",CHUCK MANGIONE,Jazz,25,4,Maj,106
5,1978,6,"""how deep is your love""",BEE GEES,Pop,33,1,Maj,105
36,1978,37,"""you're in my heart (the final acclaim)""",ROD STEWART,Rock,22,4,Maj,104
4,1978,5,"""kiss you all over""",EXILE,Country,23,1,Maj,104
3,1978,4,"""stayin' alive""",BEE GEES,Pop,27,1,Min,103
0,1978,1,"""shadow dancing""",ANDY GIBB,Pop,25,1,Min,102
57,1978,58,"""this time i'm in it for love""",PLAYER,Rock,17,10,Maj,102
26,1978,27,"""can't smile without you""",BARRY MANILOW,Pop,19,3,Maj,100
86,1978,87,"""life's been good""",JOE WALSH,Rock,15,12,Maj,98
14,1978,15,"""lay down sally""",ERIC CLAPTON,Rock,23,3,Maj,96
72,1978,73,"""every kinda people""",ROBERT PALMER,Rock,18,16,Maj,96
7,1978,8,"""(love is) thicker than water""",ANDY GIBB,Pop,29,1,Min,96
78,1978,79,"""falling""",LEBLANC & CARR,Pop,28,13,Maj,96
60,1978,61,"""blue bayou""",LINDA RONSTADT,Pop,23,3,Maj,96
38,1978,39,"""dust in the wind""",KANSAS,Rock,20,6,Min,94
64,1978,65,"""reminiscing""",LITTLE RIVER BAND,Rock,20,3,Maj,94
13,1978,14,"""emotion""",SAMANTHA SANG,Pop,27,3,Maj,94
88,1978,89,"""you can't turn me off (in the middle of turning me on)""",HIGH INERGY,R&B/Soul,22,12,Min,92
70,1978,71,"""don't it make my brown eyes blue""",CRYSTAL GAYLE,Country,26,2,Maj,86
42,1978,43,"""our love""",NATALIE COLE,R&B/Soul,21,10,Maj,80
27,1978,28,"""too much, too little, too late""",JOHNNY MATHIS,R&B/Soul,18,1,Maj,80
29,1978,30,"""two out of three ain't bad""",MEAT LOAF,Rock,23,11,Maj,80
24,1978,25,"""we will rock you/we are the champions""",QUEEN,Rock,41,4,Min,80
6,1978,7,"""baby come back""",PLAYER,Pop,32,1,Maj,78
2,1978,3,"""you light up my life""",DEBBY BOONE,Country,25,1,Maj,78
39,1978,40,"""magnet and steel""",WALTER EGAN,Pop,22,8,Maj,76
9,1978,10,"""three times a lady""",COMMODORES,R&B/Soul,20,1,Maj,76
96,1978,97,"""the name of the game""",ABBA,Pop,16,12,Maj,76
34,1978,35,"""hopelessly devoted to you""",OLIVIA NEWTON-JOHN,Pop,19,3,Maj,74
77,1978,78,"""sentimental lady""",BOB WELCH,Rock,18,8,Maj,72
16,1978,17,"""just the way you are""",BILLY JOEL,Rock,27,3,Maj,70
52,1978,53,"""my angel baby""",TOBY BEAU,Pop,17,13,Maj,70
11,1978,12,"""i go crazy""",PAUL DAVIS,Pop,40,7,Maj,70
80,1978,81,"""bluer than blue""",MICHAEL JOHNSON,Pop,16,12,Maj,66
97,1978,98,"""we're all alone""",RITA COOLIDGE,Pop,20,7,Maj,66
33,1978,34,"""last dance""",DONNA SUMMER,Pop,21,3,Maj,64
62,1978,63,"""you needed me""",ANNE MURRAY,Country,26,1,Maj,64
